user_id,sim_last_change,device_id,is_fraudulent,kyc_level,account_age_days
U0085,2025-12-27 11:54:55.563637,DEV_5573,False,verified,657
U0086,2025-08-31 11:54:55.563641,DEV_9785,False,verified,29
U0087,2026-03-20 11:54:55.563648,DEV_5279,False,basic,595
U0088,2026-01-03 11:54:55.563652,DEV_8119,True,verified,322
U0089,2025-10-07 11:54:55.563659,DEV_9379,False,basic,395
U0090,2025-07-27 11:54:55.563663,DEV_1727,False,premium,447
U0091,2026-05-18 11:54:55.563668,DEV_9821,False,premium,687
U0092,2026-02-07 11:54:55.563672,DEV_2146,False,premium,339
U0093,2025-07-03 11:54:55.563677,DEV_3041,False,premium,308
U0094,2025-09-01 11:54:55.563681,DEV_7691,False,verified,413
U0095,2025-05-27 11:54:55.563686,DEV_3085,False,basic,431
U0096,2025-06-12 11:54:55.563690,DEV_3851,False,premium,583
U0097,2025-12-15 11:54:55.563695,DEV_1006,False,verified,294
U0098,2026-01-31 11:54:55.563702,DEV_6279,False,verified,453
U0099,2025-10-04 11:54:55.563706,DEV_9375,False,verified,174
U0100,2025-06-15 11:54:55.563711,DEV_9445,True,premium,649
U0101,2025-07-05 11:54:55.563716,DEV_4848,False,premium,318
U0102,2026-01-23 11:54:55.563720,DEV_3414,False,basic,48
U0103,2026-01-13 11:54:55.563725,DEV_2193,False,verified,425
U0104,2025-06-30 11:54:55.563730,DEV_7291,False,verified,410
U0105,2026-01-14 11:54:55.563735,DEV_1090,False,basic,436
U0106,2026-01-26 11:54:55.563740,DEV_9486,False,verified,52
U0107,2025-08-06 11:54:55.563745,DEV_2988,False,verified,137
U0108,2025-09-23 11:54:55.563750,DEV_6198,False,verified,628
U0109,2025-09-02 11:54:55.563756,DEV_9976,False,verified,163
U0110,2025-09-17 11:54:55.563761,DEV_5050,False,premium,284
U0111,2025-08-25 11:54:55.563765,DEV_4919,False,verified,451
U0112,2026-04-09 11:54:55.563770,DEV_4841,False,verified,344
U0113,2025-12-06 11:54:55.563775,DEV_2320,False,basic,155
U0114,2026-01-20 11:54:55.563779,DEV_3503,False,premium,220
U0115,2026-04-16 11:54:55.563783,DEV_6421,False,premium,478
U0116,2025-10-18 11:54:55.563788,DEV_7883,True,verified,599
U0117,2025-05-27 11:54:55.563792,DEV_7232,True,verified,7
U0118,2025-11-19 11:54:55.563798,DEV_7389,False,verified,552
U0119,2025-08-12 11:54:55.563803,DEV_4613,False,verified,225
U0120,2025-12-30 11:54:55.563808,DEV_1475,False,verified,345
U0121,2025-06-10 11:54:55.563813,DEV_7624,False,premium,170
U0122,2025-09-21 11:54:55.563817,DEV_9751,False,basic,404
U0123,2025-07-19 11:54:55.563822,DEV_1444,False,basic,659
U0124,2025-10-11 11:54:55.563827,DEV_8564,False,basic,52
U0125,2026-01-05 11:54:55.563831,DEV_4467,False,verified,335
U0126,2025-11-27 11:54:55.563835,DEV_7211,False,verified,432
U0127,2026-01-09 11:54:55.563840,DEV_8705,False,basic,553
U0128,2026-04-22 11:54:55.563844,DEV_6733,False,basic,666
U0129,2026-04-13 11:54:55.563849,DEV_1659,False,basic,254
U0130,2026-02-05 11:54:55.563854,DEV_3496,False,basic,130
U0131,2025-09-18 11:54:55.563858,DEV_4571,False,verified,717
U0132,2026-01-07 11:54:55.563863,DEV_3749,False,premium,622
U0133,2026-03-21 11:54:55.563867,DEV_3683,False,verified,111
U0134,2025-07-26 11:54:55.563872,DEV_6111,True,premium,694
U0135,2025-11-07 11:54:55.563876,DEV_4249,False,basic,607
U0136,2025-05-30 11:54:55.563881,DEV_4978,False,basic,714
U0137,2025-12-15 11:54:55.563895,DEV_2983,False,premium,43
U0138,2025-11-22 11:54:55.563899,DEV_7071,False,basic,519
U0139,2025-06-21 11:54:55.563904,DEV_7882,False,verified,109
U0140,2025-10-09 11:54:55.563909,DEV_8532,False,premium,157
U0141,2025-10-08 11:54:55.563919,DEV_9548,False,premium,277
U0142,2025-07-07 11:54:55.563923,DEV_9817,False,verified,477
U0143,2025-10-07 11:54:55.563928,DEV_5397,False,verified,252
U0144,2026-04-04 11:54:55.563933,DEV_8385,False,basic,476
U0145,2025-07-31 11:54:55.563938,DEV_7209,False,verified,30
U0146,2025-09-07 11:54:55.563943,DEV_3979,False,verified,218
U0147,2025-11-18 11:54:55.563948,DEV_6576,False,verified,611
U0148,2025-05-24 11:54:55.563953,DEV_1166,False,premium,196
U0149,2026-04-05 11:54:55.563959,DEV_7658,False,verified,569
U0150,2026-01-15 11:54:55.563964,DEV_9041,False,verified,18
U0151,2026-04-01 11:54:55.563969,DEV_7625,False,premium,250
U0152,2025-12-13 11:54:55.563974,DEV_7046,False,verified,567
U0153,2025-08-20 11:54:55.563979,DEV_6419,False,verified,720
U0154,2025-09-28 11:54:55.563984,DEV_5118,False,basic,124
U0155,2026-02-09 11:54:55.563989,DEV_9779,False,premium,190
U0156,2026-02-09 11:54:55.563994,DEV_8933,False,verified,604
U0157,2025-08-23 11:54:55.563999,DEV_2647,False,basic,304
U0158,2026-01-22 11:54:55.564004,DEV_5952,False,basic,726
U0159,2025-08-18 11:54:55.564009,DEV_1745,False,basic,567
U0160,2025-12-20 11:54:55.564014,DEV_3068,False,premium,503
U0161,2026-03-27 11:54:55.564019,DEV_5658,False,verified,491
U0162,2025-10-05 11:54:55.564024,DEV_1841,False,verified,490
U0163,2026-03-21 11:54:55.564030,DEV_7565,False,verified,76
U0164,2025-07-27 11:54:55.564035,DEV_1878,False,basic,153
U0165,2025-08-03 11:54:55.564040,DEV_2395,False,basic,122
U0166,2025-08-06 11:54:55.564045,DEV_4697,False,premium,390
U0167,2025-09-30 11:54:55.564050,DEV_5871,False,premium,440
U0168,2025-12-13 11:54:55.564054,DEV_1986,False,premium,102
U0169,2026-02-01 11:54:55.564059,DEV_5335,False,premium,84
U0170,2026-02-27 11:54:55.564064,DEV_2229,False,basic,3
U0171,2025-10-21 11:54:55.564069,DEV_8699,False,verified,34
U0172,2026-01-20 11:54:55.564075,DEV_5632,False,premium,465
U0173,2026-04-12 11:54:55.564080,DEV_5334,False,premium,604
U0174,2025-06-14 11:54:55.564084,DEV_4241,False,verified,118
U0175,2025-08-13 11:54:55.564088,DEV_3441,False,verified,146
U0176,2026-04-12 11:54:55.564093,DEV_6039,True,premium,583
U0177,2025-12-22 11:54:55.564098,DEV_8679,False,premium,312
U0178,2025-05-25 11:54:55.564103,DEV_5460,False,premium,553
U0179,2025-09-08 11:54:55.564107,DEV_1653,False,verified,331
U0180,2025-07-13 11:54:55.564112,DEV_2496,False,basic,691
U0181,2025-07-28 11:54:55.564117,DEV_1339,False,premium,276
U0182,2025-07-27 11:54:55.564122,DEV_3870,True,verified,532
U0183,2025-06-19 11:54:55.564129,DEV_5557,False,basic,600
U0184,2025-10-07 11:54:55.564134,DEV_9056,False,basic,482
U0185,2025-11-21 11:54:55.564139,DEV_6260,False,premium,108
U0186,2026-02-25 11:54:55.564143,DEV_9117,False,verified,679
U0187,2025-10-25 11:54:55.564147,DEV_1601,False,verified,91
U0188,2025-12-08 11:54:55.564152,DEV_2899,False,verified,527
U0189,2026-05-18 11:54:55.564157,DEV_9889,False,verified,424
U0190,2026-04-21 11:54:55.564161,DEV_6927,False,premium,511
U0191,2025-07-02 11:54:55.564165,DEV_1845,False,basic,274
U0192,2025-08-10 11:54:55.564170,DEV_5719,False,verified,716
U0193,2025-09-12 11:54:55.564175,DEV_4920,False,premium,163
U0194,2025-12-10 11:54:55.564180,DEV_7684,False,basic,231
U0195,2026-03-21 11:54:55.564185,DEV_2924,False,premium,158
U0196,2025-09-05 11:54:55.564189,DEV_5781,False,premium,723
U0197,2025-12-30 11:54:55.564193,DEV_8905,False,verified,250
U0198,2025-09-27 11:54:55.564197,DEV_7284,False,basic,614
U0199,2025-08-31 11:54:55.564201,DEV_3236,False,basic,283
